Product,Region,Quarter,Marketing Spend,Sales,Customer Retention Rate,Churn Rate,Revenue
B,West,Q4,16375,23863,0.6731521605447004,0.29065270861339115,25500.5
B,West,Q2,7557,32913,0.7323369064698058,0.43156926099450194,33668.7
B,South,Q4,10592,27455,0.8248868413213817,0.4401799843192084,28514.2
B,North,Q2,5098,24014,0.5240294620985169,0.11834259684103937,24523.8
B,East,Q4,7200,31093,0.9745728657956929,0.45384685317427315,31813.0
A,East,Q3,19172,38070,0.9433401936490238,0.29594436941064217,39987.2
C,North,Q4,7961,23009,0.630446811670857,0.17510912335015677,23805.1
B,East,Q3,19207,44190,0.5076522701451924,0.3540905977915999,46110.7
B,East,Q3,9973,36538,0.9667181540397415,0.24083349398205767,37535.3
B,North,Q4,9433,30729,0.7505199419576296,0.18899379506112723,31672.3
B,West,Q3,16969,21409,0.7696887242000312,0.35254218214832994,23105.9
B,North,Q1,7869,32249,0.8419818846990705,0.12436207721514397,33035.9
B,West,Q3,16426,20784,0.8079255821949569,0.16512626450954926,22426.6
C,East,Q2,16983,47751,0.9719458022803786,0.21722592224413567,49449.3
C,East,Q4,5956,28096,0.9721257985625837,0.12684108693656937,28691.6
B,East,Q1,18992,27560,0.9335994667775018,0.20260104339070856,29459.2
C,South,Q4,17259,32533,0.8182017987230057,0.2857365126025053,34258.9
A,West,Q2,13352,27343,0.9004746473411999,0.37048693045533415,28678.2
B,South,Q2,10699,27206,0.8385841711914909,0.38359742655428586,28275.9
A,South,Q2,11944,41980,0.7866835208359666,0.41139517593834657,43174.4
A,North,Q3,9493,25801,0.5642501766169551,0.37210582847164897,26750.3
B,South,Q3,14492,39190,0.9056020883680015,0.3405197135484545,40639.2
C,North,Q4,9911,36921,0.9103197378719776,0.11875323564623497,37912.1
A,North,Q4,8987,25986,0.8129698350507863,0.20011144643601242,26884.7
B,South,Q1,14719,38225,0.910213421885634,0.23885744544011384,39696.9
A,West,Q1,11015,49592,0.8257423859288939,0.04144566084667711,50693.5
A,West,Q4,18703,30647,0.6033421799383727,0.2641850606486046,32517.3
A,West,Q3,18446,28716,0.6369805636605669,0.218167915803278,30560.6
A,West,Q2,6218,43355,0.607294559854187,0.40105462451336704,43976.8
C,West,Q4,9496,42009,0.6886295416139879,0.4889503343771354,42958.6
A,South,Q1,9735,39334,0.5194815661551169,0.2780025193212923,40307.5
A,South,Q3,16296,44376,0.8091269421689464,0.16134319413879183,46005.6
A,East,Q4,15927,32323,0.6682771074443632,0.02170039164908638,33915.7
C,West,Q4,9555,24780,0.8278613176903711,0.462321665111798,25735.5
A,South,Q3,14146,48691,0.6926983104827825,0.4595578576393297,50105.6
A,East,Q4,13050,22368,0.8408068344863948,0.12649508399462056,23673.0
